1 = STABLE_STATE, 0 = EXCITED_STATE
Step	 X 	 Y 	 d 	 state 
602	0.9256	-1.6436	1.8863	0
603	0.9256	-1.6436	1.8863	0
604	0.4372	-1.7506	1.8044	0
605	0.4372	-1.7506	1.8044	0
606	-0.0459	-1.8793	1.8799	0
607	0.4495	-1.8118	1.8667	0
608	0.1933	-1.3824	1.3958	0
609	-0.2247	-1.6567	1.6719	0
610	-0.0988	-1.1728	1.1770	0
611	-0.0988	-1.1728	1.1770	0
612	-0.0988	-1.1728	1.1770	0
613	0.0059	-1.6618	1.6618	0
614	0.4236	-1.3871	1.4503	0
615	0.4236	-1.3871	1.4503	0
616	0.4236	-1.3871	1.4503	0
617	-0.0754	-1.3560	1.3581	0
618	0.4246	-1.3588	1.4236	0
619	0.4246	-1.3588	1.4236	0
620	0.4246	-1.3588	1.4236	0
621	-0.0124	-1.6017	1.6017	0
622	0.4460	-1.4022	1.4714	0
623	0.8418	-1.7077	1.9039	0
624	1.1550	-1.3180	1.7524	0
625	1.1550	-1.3180	1.7524	0
626	1.2943	-0.8377	1.5418	0
627	0.8496	-1.0663	1.3634	0
628	0.4873	-1.4110	1.4928	0
629	0.9815	-1.4869	1.7817	0
630	0.6580	-1.8681	1.9806	0
631	0.6580	-1.8681	1.9806	0
632	0.6580	-1.8681	1.9806	0
633	0.7496	-1.3766	1.5674	0
634	0.7496	-1.3766	1.5674	0
635	0.7496	-1.3766	1.5674	0
636	0.2600	-1.4777	1.5004	0
637	0.2600	-1.4777	1.5004	0
638	0.0047	-1.0478	1.0478	0
639	-0.2333	-1.4875	1.5057	0
640	0.0120	-1.0519	1.0519	0
641	-0.4848	-0.9956	1.1074	0
642	-0.4637	-1.4951	1.5654	0
643	-0.4637	-1.4951	1.5654	0
644	-0.9436	-1.3548	1.6510	0
645	-0.9154	-0.8556	1.2530	0
646	-0.4880	-1.1151	1.2172	0
647	-0.4880	-1.1151	1.2172	0
648	-0.9823	-1.0401	1.4306	0
649	-0.6289	-1.3937	1.5290	0
650	-0.6289	-1.3937	1.5290	0
651	-0.7536	-0.9095	1.1811	0
652	-0.3529	-0.6104	0.7051	0
653	-0.4643	-1.0979	1.1920	0
654	-0.0129	-0.8828	0.8829	0
655	-0.3675	-1.2353	1.2888	0
656	-0.3675	-1.2353	1.2888	0
657	-0.3675	-1.2353	1.2888	0
658	-0.5232	-0.7602	0.9229	0
659	-0.1305	-1.0696	1.0775	0
660	0.0430	-0.6006	0.6022	1
661	-0.0449	-1.0929	1.0938	0
662	-0.5215	-1.2441	1.3490	0
663	-1.0192	-1.2922	1.6458	0
664	-0.5476	-1.1260	1.2521	0
665	-0.2444	-1.5235	1.5430	0
666	0.2527	-1.5765	1.5967	0
667	0.2731	-1.0770	1.1111	0
668	0.0767	-1.5368	1.5387	0
669	-0.3868	-1.7242	1.7670	0
670	-0.6012	-1.2724	1.4073	0
